"Produit","Matiere","Reference","Masse volumique ρ","Épaisseur du stratifié par masse de fibre sèche t/w","Module d’élasticité E Ef1//Fibres","Module d’élasticité E Ef2⏊ Fibres","Module de cisaillement G","Coefficient de Poisson ν","contrainte de cisaillement interlaminaire τUIL","εut1","εut2","εuc1","εuc2","εuf1b","εuf2c","γu12","σut1","σut2","σuc1","σuc2","σuf1","σuf2","τ12","Nom","Date","Form"
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit T400",71,"-",85,85,29,"-","-",0.28,0.28,0.28,0.28,0.28,0.28,0.28,1.30,1.30,1.30,1.30,"-","-",0.81,"guritcorecell-t.pdf","13/06/2018","Datasheet"
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit T600",94,"-",152,152,40,"-","-",0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.72,1.72,1.72,1.72,"-","-",1.20,"guritcorecell-t.pdf","13/06/2018","Datasheet"
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit M60",65,"-",44,44,20,"-","-",0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.81,0.81,0.81,0.81,"-","-",0.68,"guritcorecell-m.pdf","10/11/2019","Datasheet"
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit M80",85,"-",72,72,29,"-","-",0.58,0.58,0.58,0.58,0.58,0.58,0.58,1.62,1.62,1.62,1.62,"-","-",1.09,"guritcorecell-m.pdf","10/11/2019","Datasheet"
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit M100",107.5,"-",109,109,41,"-","-",0.52,0.52,0.52,0.52,0.52,0.52,0.52,2.11,2.11,2.11,2.11,"-","-",1.45,"guritcorecell-m.pdf","10/11/2019","Datasheet"
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit A400",69,"-",56,56,22,"-","-",0.71,0.71,0.71,0.71,0.71,0.71,0.71,1.18,1.18,1.18,1.18,"-","-",0.83,"guritcorecell-a.pdf","13/06/2018","Datasheet"
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit A450",81,"-",70,70,27,"-","-",0.69,0.69,0.69,0.69,0.69,0.69,0.69,1.38,1.38,1.38,1.38,"-","-",0.99,"guritcorecell-a.pdf","13/06/2018","Datasheet"
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit A500",92,"-",84,84,32,"-","-",0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.58,1.58,1.58,1.58,"-","-",1.14,"guritcorecell-a.pdf","13/06/2018","Datasheet"
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC40",40,"-",68,68,15,"-","-",0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.71,0.71,0.71,0.71,"-","-",0.47,"gurit-pvc.pdf","11/06/2018","Datasheet"
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC48",48,"-",71,71,16,"-","-",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.98,0.98,0.98,0.98,"-","-",0.52,"gurit-pvc.pdf","11/06/2018","Datasheet"
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC60",60,"-",100,100,21,"-","-",0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.82,1.82,1.82,1.82,"-","-",0.79,"gurit-pvc.pdf","11/06/2018","Datasheet"
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC80",80,"-",146,146,30,"-","-",0.19,0.19,0.19,0.19,0.19,0.19,0.19,2.74,2.74,2.74,2.74,"-","-",1.20,"gurit-pvc.pdf","11/06/2018","Datasheet"
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC60HT",60,"-",97,97,21,"-","-",0.29,0.29,0.29,0.29,0.29,0.29,0.29,1.98,1.98,1.98,1.98,"-","-",0.86,"gurit-pvc-ht.pdf","10/06/2018","Datasheet"
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC80HT",80,"-",138,138,29,"-","-",0.32,0.32,0.32,0.32,0.32,0.32,0.32,2.84,2.84,2.84,2.84,"-","-",1.26,"gurit-pvc-ht.pdf","10/06/2018","Datasheet"
"âme structurelle","Balsa","Gurit Balsaflex110",110,"-",2130,2130,103,"-","-","-","-","-","-","-","-","-","-","-",8.3,8.3,"-","-",2.0,"balsaflex.pdf","12/03/2021","Datasheet"
"âme structurelle","Polyethylene Terephthalate (PET)","Airex T92.60",65,"-",55,55,15,"-","-",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.85,0.85,0.85,0.85,"-","-",0.55,"TDS-AIREX-T92-E-06.2021.pdf","12/03/2021","Datasheet"
"âme structurelle","Polyethylene Terephthalate (PET)","Airex T92.80",85,"-",75,75,22,"-","-",0.30,0.30,0.30,0.30,0.30,0.30,0.30,1.3,1.3,1.3,1.3,"-","-",0.72,"TDS-AIREX-T92-E-06.2021.pdf","12/03/2021","Datasheet"
"âme structurelle","Polyethylene Terephthalate (PET)","Airex T92.100",100,"-",90,90,26,"-","-",0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.75,1.75,1.75,1.75,"-","-",0.9,"TDS-AIREX-T92-E-06.2021.pdf","12/03/2021","Datasheet"
"âme structurelle","Polyethylene Terephthalate (PET)","Airex T92.130",135,"-",140,140,34,"-","-",0.12,0.12,0.12,0.12,0.12,0.12,0.12,2.4,2.4,2.4,2.4,"-","-",1.3,"TDS-AIREX-T92-E-06.2021.pdf","12/03/2021","Datasheet"
"âme structurelle","Polyvinyl chloride (PVC)","Airex C70.55",60,"-",69,69,22,"-","-",0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.9,0.9,0.9,0.9,"-","-",0.85,"TDS-AIREX-C70-E-06.2021.pdf","12/03/2021","Datasheet"
"âme structurelle","Polyvinyl chloride (PVC)","Airex C70.75",80,"-",104,104,30,"-","-",0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.45,1.45,1.45,1.45,"-","-",1.2,"TDS-AIREX-C70-E-06.2021.pdf","12/03/2021","Datasheet"
"âme structurelle","Polyvinyl chloride (PVC)","Airex C70.75",100,"-",130,130,40,"-","-",0.23,0.23,0.23,0.23,0.23,0.23,0.23,2.00,2.00,2.00,2.00,"-","-",1.7,"TDS-AIREX-C70-E-06.2021.pdf","12/03/2021","Datasheet"
"âme structurelle","Polyethylene Terephthalate (PET)","Airex T90.60",65,"-",50,50,12,"-","-",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.80,0.80,0.80,0.80,"-","-",0.46,"TDS-AIREX-T90-E-06-2021.pdf","06/20/2021","Datasheet"
"âme structurelle","Polyethylene Terephthalate (PET)","Airex T90.100",110,"-",80,80,20,"-","-",0.10,0.10,0.10,0.10,0.10,0.10,0.10,1.4,1.4,1.4,1.4,"-","-",0.8,"TDS-AIREX-T90-E-06-2021.pdf","06/20/2021","Datasheet"
"âme structurelle","Polyethylene Terephthalate (PET)","Airex T90.150",145,"-",105,105,30,"-","-",0.08,0.08,0.08,0.08,0.08,0.08,0.08,2.2,2.2,2.2,2.2,"-","-",1.2,"TDS-AIREX-T90-E-06-2021.pdf","06/20/2021","Datasheet"
"âme structurelle","Polyethylene Terephthalate (PET)","Airex T10.100",100,"-",105,105,34,"-","-",0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,1.2,1.2,"-","-",1.1,"TDS-AIREX-T90-E-06-2021.pdf","06/20/2021","Datasheet"
"âme structurelle","Polyethylene Terephthalate (PET)","Airex T10.110",110,"-",120,120,38,"-","-",0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.6,1.6,1.6,1.6,"-","-",1.15,"TDS-AIREX-T90-E-06-2021.pdf","06/20/2021","Datasheet"